レシピID,コリジョン回数,レシピ分類
6,8,デザート
8,2,主食
13,1,主食
22,3,副菜
26,5,デザート
31,1,主食
50,3,副菜
51,2,汁物
52,7,汁物
53,8,デザート
63,4,デザート
71,1,副菜
73,7,デザート
76,1,副菜
80,8,デザート
82,5,デザート
83,3,デザート
90,1,副菜
93,1,汁物
96,1,主食
97,2,主食
99,7,デザート
106,1,汁物
122,10,主菜
135,1,汁物
141,2,汁物
148,3,主食
158,4,主菜
159,1,主食
161,1,汁物
165,5,汁物
173,1,汁物
176,5,主食
187,4,主食
189,2,汁物
190,2,主菜
191,5,汁物
196,3,主菜
208,3,副菜
209,6,デザート
211,1,副菜
217,1,主食
220,2,主食
221,1,副菜
229,1,副菜
237,1,主菜
238,1,副菜
251,3,主食
256,1,汁物
261,3,副菜
262,2,副菜
266,2,デザート
269,8,副菜
270,3,汁物
275,3,主食
284,6,副菜
289,1,主食
296,2,主菜
300,3,主菜
304,1,主食
320,8,主菜
321,10,主菜
363,1,主菜
365,1,主菜
371,1,主菜
